position,driver,current points,theoretical max points,can't be higher than,can't be lower than
1,VER,366,478,1,1
2,PER,253,365,2,6
3,LEC,252,364,2,6
4,RUS,207,319,2,7
5,SAI,202,314,2,7
6,HAM,180,292,2,8
7,NOR,101,213,4,22
8,OCO,78,190,6,22
9,ALO,65,177,7,22
10,BOT,46,158,7,22
11,VET,32,144,7,22
12,RIC,29,141,7,22
13,GAS,23,135,7,22
14,MAG,22,134,7,22
15,STR,13,125,7,22
16,MSC,12,124,7,22
17,TSU,11,123,7,22
18,ZHO,6,118,7,22
19,ALB,4,116,7,22
20,LAT,2,114,7,22
21,DEV,2,114,7,22
22,HUL,0,112,7,22
